Type,Matériaux,Teneur en carbone C (%),Utilisation,section,Nuances d'aciers,Résistances élastiques σe (MPa),Résistances à la rupture σr (MPa),Déformation limites l/l₀ (‰),Désignation,Signification,Valeur de H (mm),N°,DESIGNATION,CHARGE en daN/m²,NATURE des locaux,Charges daN/m²,Type d'action,Catégorie,Dénomination,Degré de l'action,Coefficients de pondération,Combinaison d'actions,Les combinaisons,Temps de récurrence (ans),Valeur,Région I,Région II,Région III,Région IV,Région V,Région VI,Régions,I,II,III,IV,V,VI,Paramètres,Zone I,Zone II,Zone III,Zone IV,Zone V,Zone VI,Zone VII,Zone VIII,Zone IX,Zone X,Type de parois,Valeur du coefficient résultante C',Profils,Dimensions (mm),Masse (kg/m),Surface de peinture (m²/m),Section A (cm²),Moment d'inertie (cm⁴),Module de flexion (cm³),Rayon de giration (cm),Distance entre ailes d (mm),Moment statique Sx (cm³),Séries,Dimensions (mm) e,Section (cm²),Moment d'inertie I_y (cm⁴),Module de flexion W_y (cm³),Rayon de giration i_y (cm),e (mm),Ix_a0,Wx_a0,Ix_a6,Wx_a6,Ix_a10,Wx_a10,Ix_a8,Wx_a8,Ix_a12,Wx_a12,Ix_a14,Wx_a14,Ix_a16,Wx_a16,Classe d'emploi,Conditions,Altérations,Type de bois,Classe de résistance,Domaine d'utilisation,Classe de service,Humidité relative de l'air ambiante à 20 °C,Humidité relative de l'air ne dépassant 85%,Types de structures,Nature de bois,Valeur de H (%),Observation,Emploi,Valeur de rᵥ (%),Valeur de v (%),Valeur de d,Exemple de bois,Symbole,Unité,C18,C22,C24,C27,C30,C35,C40,GL24h,GL28h,GL32h,GL36h,Classe du bois lamellé-collé,Bois des lamelles extérieures,Bois des lamelles intérieures panaché ou combiné,Essence de bois,Densité,Résistance à la compression,Résistance à la flexion,Module E,Retrait tangentiel,Retrait radial,Termite,Classe de Durabilité,Classe de densité,Classe d'emploi (sans traitement),Résistance mécanique,qk (daN/m²),Qk (daN),Poids propre (par mètre de longueur de cloison),Charge répartie équivalente qk (daN/m²),Etat limite vérifié,Action Permanente (Gk),"Action variable de base (Qk,1)","Actions variables d'accompagnement (Qk,i)",Action Accidentelle (γ_A*A_dk),Combinaison,Coefficients partiels en fonction du type d'action,Bâtiment usuel,Temps de récurrence (an),Régions I,Régions II,Régions III,Régions IV,Régions V,Régions VI,Réf.,Durée indicative (en année),Ouvrages,Catégorie de rugosité,Description,Z₀ (m),Z_min (m),Ref,Coefficients C_pe,Surface (S) reprenant l'action du vent (m²),h/d,"A_C_pe,10","A_C_pe,1","B_C_pe,10","B_C_pe,1","C_C_pe,10","C_C_pe,1","D_C_pe,10","D_C_pe,1","E_C_pe,10","E_C_pe,1",Angle de pente α,"F_C_pe,10_Au_Vent","F_C_pe,10_Sous_Vent","F_C_pe,1_Au_Vent","F_C_pe,1_Sous_Vent","G_C_pe,10_Au_Vent","G_C_pe,10_Sous_Vent","G_C_pe,1_Au_Vent","G_C_pe,1_Sous_Vent","H_C_pe,10_Au_Vent","H_C_pe,10_Sous_Vent","H_C_pe,1_Au_Vent","H_C_pe,1_Sous_Vent","I_C_pe,10_Au_Vent","I_C_pe,10_Sous_Vent","I_C_pe,1_Au_Vent","I_C_pe,1_Sous_Vent","J_C_pe,10_Au_Vent","J_C_pe,10_Sous_Vent","J_C_pe,1_Au_Vent","J_C_pe,1_Sous_Vent","F_C_pe,10","F_C_pe,1","G_C_pe,10","G_C_pe,1","H_C_pe,10","H_C_pe,1","I_C_pe,10","I_C_pe,1",Cas,Pression intérieure C_pi,Combinaisons fondamentales,Combinaisons accidentelles,Etats limites de service,Matérial,Norme,Classe de service 1,Classe de service 2,Classe de service 3,Type d'ouvrage,W_inst/lim,"W_net,fin/lim",W_fin/lim
,,,,Types de poutrelles,,,,,IPN,Poutrelles Normales à forme I,80 à 140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,IPE,Poutrelles Européennes,80 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,IPE-A,Poutrelles Européennes Allégées,180 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,IPE-R,Poutrelles Européennes Allégées,180 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,HEA,Poutrelles à type H Allégées,100 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,HEB,Poutrelles à type H,100 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,HEM,Poutrelles à type H Allégées,100 à 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,UAP,Poutrelles U à ailes parallèles,80 à 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Types de poutrelles,,,,,UPN-A,Poutrelles U à ailes parallèles Allégées,250 à 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,1,Couverture en tuile,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,2,Tôles ondulées sous galvanisé,24.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,3,Tuiles,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,4,Bardage d'épaisseur = 1mm,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,5,Plancher préfabriqué,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,6,Briques pleines,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,7,Contre-cloison de briques,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,8,Carreaux de plâtre par cm d'épaisseur,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,9,Panneaux de paille compressée par cm d'épaisseur,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,10,Plaque de plâtre par cm d'épaisseur,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,11,Etanchéité multicouche,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,12,"Plafonds en plâtre sur lattis avec épaisseur 0,6 cm",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,13,"Revêtement épaisseur 0,6 cm",65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,14,Terrasses en daN/m²,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,15,Etanchéité multicouche pour 2 cm d'épaisseur,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,16,Dalle par cm d'épaisseur,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,17,Chape pour 2 cm scellés au bitume,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Valeurs de quelques charges permanentes,,,,,,,,18,Chape béton par cm d'épaisseur,épaisseur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
