id_troncon,type_section,largeur_fond_m,fruit_z,surface_ha,coeff_ruissellement,longueur_parcours_surface_m,pente_parcours_surface,longueur_troncon_m,pente_troncon,ks_manning_strickler,troncon_amont
TR1,circulaire,1,1,61,7,1,535,0,02,94,0,06,85,TR-3
TR2,circulaire,1,1,89,1,1,1118,0,02,80,0,01,85,TR-8
TR3,circulaire,1,1,106,8,1,614,0,02,187,0,01,85,TR-8
TR4,circulaire,1,1,49,1,833,0,02,197,0,01,85,NONE
TR5,circulaire,1,1,106,8,1,614,0,02,248,0,01,85,TR14
TR6,circulaire,1,1,106,8,1,614,0,02,193,0,03,85,TR-5
TR7,circulaire,1,1,89,1,1,1118,0,02,190,0,04,85,TR-7
TR8,circulaire,1,1,89,1,1,1118,0,02,168,0,03,85,NONE
TR9,circulaire,1,1,49,1,833,0,02,134,0,01,85,TR-35
TR10,circulaire,1,1,49,1,833,0,02,164,0,01,85,TR-9
TR11,circulaire,1,1,106,8,1,614,0,02,269,0,00,85,TR-12
TR12,circulaire,1,1,53,4,1,533,0,02,184,0,01,85,TR-2
TR13,circulaire,1,1,49,1,833,0,02,180,0,01,85,TR-14
TR14,circulaire,1,1,106,8,1,614,0,02,109,0,03,85,TR-21
TR15,circulaire,1,1,106,8,1,614,0,02,83,0,04,85,TR-16
TR16,circulaire,1,1,53,4,1,533,0,02,115,0,03,85,TR-34
TR17,circulaire,1,1,53,4,1,614,0,02,185,0,03,85,TR-18
TR18,circulaire,1,1,106,8,1,614,0,02,117,0,09,85,TR-4
TR19,circulaire,1,1,106,8,1,614,0,02,112,0,07,85,TR-7
TR20,circulaire,1,1,106,8,1,614,0,02,102,0,05,85,TR-13
TR21,circulaire,1,1,106,8,1,614,0,02,144,0,03,85,TR-22
TR22,circulaire,1,1,49,1,833,0,02,113,0,04,85,TR-2
TR23,circulaire,1,1,89,1,1,1118,0,02,116,0,00,85,TR-20
TR24,circulaire,1,1,61,7,1,535,0,02,118,0,03,85,TR-25
TR25,circulaire,1,1,89,1,1,1118,0,02,140,0,03,85,TR-31
TR26,circulaire,1,1,61,7,1,535,0,02,139,0,00,85,TR-27
TR27,circulaire,1,1,89,1,1,1118,0,02,37,0,05,85,TR-15
TR28,circulaire,1,1,106,8,1,614,0,02,110,0,02,85,TR-19
TR29,circulaire,1,1,89,1,1,1118,0,02,151,0,01,85,TR-28
TR30,circulaire,1,1,89,1,1,1118,0,02,60,0,10,85,TR-17
TR31,circulaire,1,1,106,8,1,614,0,02,154,0,01,85,TR-32
TR32,circulaire,1,1,49,1,833,0,02,143,0,03,85,TR-33
TR33,circulaire,1,1,53,4,1,533,0,02,95,0,04,85,TR-39
TR34,circulaire,1,1,61,7,1,535,0,02,67,0,01,85,TR-39
TR35,circulaire,1,1,53,4,1,533,0,02,140,0,01,85,TR-37
TR36,circulaire,1,1,106,8,1,614,0,02,197,0,02,85,TR-10
TR37,circulaire,1,1,49,1,833,0,02,176,0,03,85,TR-6
TR38,circulaire,1,1,106,8,1,614,0,02,49,0,02,85,TR-21
TR39,circulaire,1,1,49,1,833,0,02,47,0,02,85,TR-38
TR40,circulaire,1,1,49,1,833,0,02,42,0,02,85,TR-29
